#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.105727E+01  0.147592E+04  0.722650E+03
   0.106325E+01  0.148839E+04  0.731226E+03
   0.106924E+01  0.150090E+04  0.739845E+03
   0.107522E+01  0.151347E+04  0.748507E+03
   0.108120E+01  0.152608E+04  0.757211E+03
   0.108719E+01  0.153874E+04  0.765958E+03
   0.109317E+01  0.155145E+04  0.774748E+03
   0.109916E+01  0.156421E+04  0.783581E+03
   0.110514E+01  0.157701E+04  0.792456E+03
   0.111112E+01  0.158987E+04  0.801374E+03
   0.111711E+01  0.160277E+04  0.810334E+03
   0.112309E+01  0.161572E+04  0.819337E+03
   0.112908E+01  0.162872E+04  0.828382E+03
   0.113506E+01  0.164176E+04  0.837469E+03
   0.114104E+01  0.165486E+04  0.846598E+03
   0.114703E+01  0.166800E+04  0.855770E+03
   0.115301E+01  0.168119E+04  0.864984E+03
   0.115900E+01  0.169443E+04  0.874240E+03
   0.116498E+01  0.170771E+04  0.883538E+03
   0.117096E+01  0.172105E+04  0.892879E+03
   0.117695E+01  0.173443E+04  0.902261E+03
   0.118293E+01  0.174786E+04  0.911685E+03
   0.118892E+01  0.176134E+04  0.921151E+03
   0.119490E+01  0.177486E+04  0.930659E+03
   0.120088E+01  0.178843E+04  0.940208E+03
   0.120687E+01  0.180205E+04  0.949799E+03
   0.121285E+01  0.181572E+04  0.959432E+03
   0.121884E+01  0.182944E+04  0.969107E+03
   0.122482E+01  0.184320E+04  0.978823E+03
   0.123080E+01  0.185701E+04  0.988581E+03
   0.123679E+01  0.187087E+04  0.998381E+03
   0.124277E+01  0.188478E+04  0.100822E+04
   0.124876E+01  0.189873E+04  0.101810E+04
   0.125474E+01  0.191273E+04  0.102803E+04
   0.126072E+01  0.192678E+04  0.103799E+04
   0.126671E+01  0.194088E+04  0.104800E+04
   0.127269E+01  0.195502E+04  0.105805E+04
   0.127867E+01  0.196921E+04  0.106814E+04
   0.128466E+01  0.198345E+04  0.107827E+04
