#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.132655E+01  0.192581E+04  0.944563E+03
   0.133253E+01  0.193878E+04  0.953217E+03
   0.133851E+01  0.195179E+04  0.961904E+03
   0.134450E+01  0.196483E+04  0.970624E+03
   0.135048E+01  0.197792E+04  0.979378E+03
   0.135647E+01  0.199104E+04  0.988164E+03
   0.136245E+01  0.200420E+04  0.996984E+03
   0.136843E+01  0.201740E+04  0.100584E+04
   0.137442E+01  0.203064E+04  0.101472E+04
   0.138040E+01  0.204392E+04  0.102364E+04
   0.138639E+01  0.205724E+04  0.103259E+04
   0.139237E+01  0.207059E+04  0.104158E+04
   0.139835E+01  0.208399E+04  0.105059E+04
   0.140434E+01  0.209742E+04  0.105964E+04
   0.141032E+01  0.211089E+04  0.106873E+04
   0.141631E+01  0.212440E+04  0.107784E+04
   0.142229E+01  0.213795E+04  0.108699E+04
   0.142827E+01  0.215154E+04  0.109617E+04
   0.143426E+01  0.216516E+04  0.110539E+04
   0.144024E+01  0.217883E+04  0.111464E+04
   0.144622E+01  0.219253E+04  0.112392E+04
   0.145221E+01  0.220627E+04  0.113323E+04
   0.145819E+01  0.222005E+04  0.114257E+04
   0.146418E+01  0.223387E+04  0.115195E+04
   0.147016E+01  0.224773E+04  0.116136E+04
   0.147614E+01  0.226162E+04  0.117080E+04
   0.148213E+01  0.227556E+04  0.118028E+04
   0.148811E+01  0.228953E+04  0.118978E+04
   0.149410E+01  0.230354E+04  0.119932E+04
   0.150008E+01  0.231759E+04  0.120889E+04
   0.150606E+01  0.233167E+04  0.121850E+04
   0.151205E+01  0.234580E+04  0.122813E+04
   0.151803E+01  0.235996E+04  0.123780E+04
   0.152402E+01  0.237416E+04  0.124750E+04
